,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,cosine_ami,cosine_ari,silhouette
0,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,500,raw,0.2255341844254558,0.3084204694123719,0.2433594316211999,0.349196136368778,0.4561650736963104,0.5269438926753253,0.2367659338038737
1,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,500,raw,0.4331640735979874,0.4530086261841561,0.2962278796500561,0.2671737912368987,0.8661952223134954,0.9303109946038108,0.4332039659834924
2,Signac,H3K27me3,scChIP_Marsolier_2022,500,raw,0.0483407779765311,0.0460200615743269,0.2534415753519958,0.233677088125275,0.2550657221162937,0.2330427828384134,0.0399124128956655
3,SnapATAC,H3K27me3,scChIP_Marsolier_2022,500,raw,0.466676911060756,0.5306572333831236,0.5100486900748276,0.5807911132420619,0.0001220740380338,0.0001686971726375,0.3865623395400952
4,cisTopic,H3K27me3,scChIP_Marsolier_2022,500,raw,0.3390921544612352,0.3412942374571201,0.2999820403676373,0.2958218936943733,0.2599200275689585,0.2259286739769008,0.3437402976809361
5,PeakVI,H3K27me3,scChIP_Marsolier_2022,500,raw,0.0341199762029238,0.0218364939226025,0.0292863448536984,-0.0164565309932279,0.0450393764204679,0.0141702198826613,0.2756798307853494
6,SCALE,H3K27me3,scChIP_Marsolier_2022,500,raw,0.0199155093575551,-0.0030898555018992,0.0029950565488935,-0.0035943555971401,-6.911256883387536e-05,-0.0005794450432101,0.2647695219463522
7,NMF,H3K27me3,scChIP_Marsolier_2022,500,raw,0.4049427247439486,0.4434617761894424,0.652538982960728,0.7436846047833302,0.89084435419222,0.9450706510776832,0.2749217889349205
8,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,500,raw,0.2018599857972875,0.2904800761853058,0.4282278543541116,0.4639029924822477,0.3112310965384438,0.2854352014971617,0.3406818403072119
9,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.1376983740337293,0.2043397932515162,0.2347542304573351,0.206715343710106,0.2898613794087444,0.2773593042697738,0.2018586993829603
10,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.4768104610873316,0.5187632576791474,0.3291010049755974,0.3100040883893845,0.8603758808885061,0.9200302174082544,0.4307815792975643
11,Signac,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.3123470650307564,0.3086114688991111,0.2111525643679334,0.2250214931696098,0.2267632924208878,0.2226011827490934,0.0466265003294205
12,SnapATAC,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.0698110766862985,0.0940217886742761,0.3158177171377806,0.3179037120637804,0.0111237462678,-0.014568872141397,0.2911577524870951
13,cisTopic,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.3197666024563789,0.3195196669826003,0.2691461593023556,0.253536573377478,0.2719161558442269,0.2530849075854774,0.1981894466504708
14,PeakVI,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.0401215858742718,0.0469120095497328,0.0897553562512122,0.1084357523270293,0.1920753673448493,0.1519647322941928,0.3132477382053081
15,SCALE,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.0335374390552065,0.0011879973559384,0.0289763153304199,-0.0039269279076649,0.4842594410226148,0.5400235872967424,0.2683017326913238
16,NMF,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.0006312513785121,-0.0072258667749351,0.0132721418592467,-0.0100064367177706,0.3404293229170357,0.3302219677759906,0.2234873509753901
17,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,1000,raw,0.8160291692547866,0.897230925371221,0.4351460584251596,0.3856507073283159,0.2931367921791771,0.2659654273762568,0.3791321362874938
18,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,10,raw,0.6049373300945347,0.7029357790401983,0.85547652841565,0.9238638761868097,0.8504101480167591,0.9203688086802408,0.3091342867145525
