,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
51,Signac,8,0.001,0.0023332129094412,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
52,SnapATAC,8,0.001,0.0042298892100192,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
53,cisTopic,8,0.001,0.0035826107899807,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
54,Chromscape_LSI,25,0.003,0.011931599229287,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
55,Chromscape_PCA,25,0.003,0.0064354527938342,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
56,Signac,25,0.003,0.006257225433526,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
57,SnapATAC,25,0.003,0.0121917148362235,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
58,cisTopic,25,0.003,0.0092822736030828,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
59,Chromscape_LSI,42,0.005,0.0184133865492247,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
60,Chromscape_PCA,42,0.005,0.0104912147903477,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
61,Signac,42,0.005,0.0099091659785301,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
62,SnapATAC,42,0.005,0.0188176667584182,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
63,cisTopic,42,0.005,0.014743325075695,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
64,Chromscape_LSI,83,0.01,0.0330962578638252,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
65,Chromscape_PCA,83,0.01,0.0192083362351138,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
66,Signac,83,0.01,0.018221730854052,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
67,SnapATAC,83,0.01,0.0335112124799777,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
68,cisTopic,83,0.01,0.0274697054112403,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
69,Chromscape_LSI,249,0.03,0.0810046544559741,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
70,Chromscape_PCA,249,0.03,0.049958020908296,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
71,Signac,249,0.03,0.0470910617421516,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
72,SnapATAC,249,0.03,0.0834861604413801,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
73,cisTopic,249,0.03,0.0725686948178068,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
74,Chromscape_LSI,415,0.05,0.1213005199990714,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
75,Chromscape_PCA,415,0.05,0.0764282563781136,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
76,Signac,415,0.05,0.0733071012373192,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
77,SnapATAC,415,0.05,0.125731538872252,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
78,cisTopic,415,0.05,0.1118645100633748,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
79,Chromscape_LSI,830,0.1,0.2046183288065557,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
80,Chromscape_PCA,830,0.1,0.134866489077698,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
81,Signac,830,0.1,0.1349361318104789,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
82,SnapATAC,830,0.1,0.2132560589177519,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
83,cisTopic,830,0.1,0.1955972734870116,H3K9me3,scCutTagPro_Zhang_2021,1000,raw
84,Chromscape_LSI,8,0.001,0.0026342726396917,H3K9me3,scCutTagPro_Zhang_2021,10,raw
85,Chromscape_PCA,8,0.001,0.0031912331406551,H3K9me3,scCutTagPro_Zhang_2021,10,raw
86,Signac,8,0.001,0.0029654383429672,H3K9me3,scCutTagPro_Zhang_2021,10,raw
