,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
44,Chromscape_LSI,15,0.005,0.0473111111111111,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
45,Chromscape_LSI,30,0.01,0.0773555555555555,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
46,Chromscape_LSI,90,0.03,0.1520777777777777,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
47,Chromscape_LSI,150,0.05,0.1964644444444444,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
48,Chromscape_LSI,300,0.1,0.26227,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_3000
49,Chromscape_LSI,3,0.001,0.0125555555555555,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_3000
50,Chromscape_LSI,9,0.003,0.0344444444444444,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_3000
51,Chromscape_LSI,15,0.005,0.0503555555555555,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_3000
52,Chromscape_LSI,30,0.01,0.0824,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_3000
53,Chromscape_LSI,90,0.03,0.1589407407407407,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_3000
54,Chromscape_LSI,150,0.05,0.2040155555555555,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_3000
55,Chromscape_LSI,300,0.1,0.2706177777777778,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_3000
56,Chromscape_LSI,3,0.001,0.0065555555555555,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_3000
57,Chromscape_LSI,9,0.003,0.0177037037037037,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_3000
58,Chromscape_LSI,15,0.005,0.0281777777777777,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_3000
59,Chromscape_LSI,30,0.01,0.0482444444444444,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_3000
60,Chromscape_LSI,90,0.03,0.106137037037037,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_3000
61,Chromscape_LSI,150,0.05,0.14662,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_3000
62,Chromscape_LSI,300,0.1,0.21528,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_3000
63,Chromscape_LSI,9,0.001,0.0160864197530864,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_9000
64,Chromscape_LSI,27,0.003,0.0376995884773662,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_9000
65,Chromscape_LSI,45,0.005,0.0554271604938271,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_9000
66,Chromscape_LSI,90,0.01,0.0897172839506172,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_9000
67,Chromscape_LSI,270,0.03,0.1672818930041152,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_9000
68,Chromscape_LSI,450,0.05,0.2108051851851851,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_9000
69,Chromscape_LSI,900,0.1,0.273698024691358,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_9000
70,Chromscape_LSI,9,0.001,0.0121975308641975,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_9000
71,Chromscape_LSI,27,0.003,0.0288806584362139,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_9000
72,Chromscape_LSI,45,0.005,0.0425679012345679,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_9000
73,Chromscape_LSI,90,0.01,0.0693716049382716,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_9000
74,Chromscape_LSI,270,0.03,0.1355609053497942,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_9000
75,Chromscape_LSI,450,0.05,0.1755491358024691,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_9000
76,Chromscape_LSI,900,0.1,0.2375679012345679,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_9000
77,Chromscape_LSI,9,0.001,0.0094691358024691,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_9000
78,Chromscape_LSI,27,0.003,0.0219423868312757,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_9000
79,Chromscape_LSI,45,0.005,0.0322864197530864,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_9000
80,Chromscape_LSI,90,0.01,0.0530691358024691,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_9000
81,Chromscape_LSI,270,0.03,0.1103119341563786,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_9000
82,Chromscape_LSI,450,0.05,0.1495496296296296,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_9000
83,Chromscape_LSI,900,0.1,0.2166358024691358,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_9000
84,Chromscape_LSI,9,0.001,0.0214691358024691,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_9000
85,Chromscape_LSI,27,0.003,0.0474526748971193,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_9000
86,Chromscape_LSI,45,0.005,0.0671679012345679,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_9000
87,Chromscape_LSI,90,0.01,0.103116049382716,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_9000
88,Chromscape_LSI,270,0.03,0.1837666666666666,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_9000
89,Chromscape_LSI,450,0.05,0.2291501234567901,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_9000
90,Chromscape_LSI,900,0.1,0.2932874074074074,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_9000
91,Chromscape_LSI,9,0.001,0.0117037037037037,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_9000
92,Chromscape_LSI,27,0.003,0.0272839506172839,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_9000
93,Chromscape_LSI,45,0.005,0.0391061728395061,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_9000
94,Chromscape_LSI,90,0.01,0.0621172839506172,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_9000
95,Chromscape_LSI,270,0.03,0.1227127572016461,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_9000
96,Chromscape_LSI,450,0.05,0.1638851851851852,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_9000
97,Chromscape_LSI,900,0.1,0.232630987654321,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_9000
98,Chromscape_LSI,9,0.001,0.0212962962962962,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_9000
99,Chromscape_LSI,27,0.003,0.0470946502057613,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_9000
100,Chromscape_LSI,45,0.005,0.066716049382716,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_9000
101,Chromscape_LSI,90,0.01,0.1039592592592592,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_9000
102,Chromscape_LSI,270,0.03,0.1881456790123457,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_9000
103,Chromscape_LSI,450,0.05,0.2343639506172839,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_9000
104,Chromscape_LSI,900,0.1,0.2978345679012346,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_9000
105,Chromscape_LSI,9,0.001,0.0178888888888888,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_9000
106,Chromscape_LSI,27,0.003,0.0419300411522633,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_9000
107,Chromscape_LSI,45,0.005,0.0604345679012345,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_9000
108,Chromscape_LSI,90,0.01,0.0959024691358024,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_9000
109,Chromscape_LSI,270,0.03,0.177340329218107,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_9000
110,Chromscape_LSI,450,0.05,0.2224313580246913,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_9000
111,Chromscape_LSI,900,0.1,0.2858208641975309,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_9000
112,Chromscape_LSI,9,0.001,0.0195185185185185,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_9000
113,Chromscape_LSI,27,0.003,0.0440452674897119,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_9000
114,Chromscape_LSI,45,0.005,0.0632222222222222,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_9000
115,Chromscape_LSI,90,0.01,0.1004283950617283,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_9000
116,Chromscape_LSI,270,0.03,0.183654732510288,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_9000
117,Chromscape_LSI,450,0.05,0.2299108641975308,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_9000
118,Chromscape_LSI,900,0.1,0.2927839506172839,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_9000
119,Chromscape_LSI,9,0.001,0.0188148148148148,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_9000
120,Chromscape_LSI,27,0.003,0.0411028806584362,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_9000
121,Chromscape_LSI,45,0.005,0.0576962962962962,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_9000
122,Chromscape_LSI,90,0.01,0.0888061728395061,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_9000
123,Chromscape_LSI,270,0.03,0.1599337448559671,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_9000
124,Chromscape_LSI,450,0.05,0.2034219753086419,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_9000
125,Chromscape_LSI,900,0.1,0.2696203703703703,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_9000
