,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
45,TFIDF-NMF,33,0.003,0.0463364388279064,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
46,NMF,54,0.005,0.0251258084022589,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
47,TFIDF-NMF,54,0.005,0.0652427171198502,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
48,NMF,108,0.01,0.0407523564520151,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
49,TFIDF-NMF,108,0.01,0.1031850963591577,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
50,NMF,325,0.03,0.086452427749356,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
51,TFIDF-NMF,325,0.03,0.1967079392335365,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
52,NMF,542,0.05,0.1190379831111289,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
53,TFIDF-NMF,542,0.05,0.2512206802724793,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
54,NMF,1084,0.1,0.1795987012540543,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
55,TFIDF-NMF,1084,0.1,0.3266845898327076,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100
56,NMF,11,0.001,0.0045869636313322,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
57,TFIDF-NMF,11,0.001,0.0196811766777637,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
58,NMF,33,0.003,0.0105491777846726,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
59,TFIDF-NMF,33,0.003,0.0446006043275667,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
60,NMF,54,0.005,0.0158315311898929,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
61,TFIDF-NMF,54,0.005,0.0628854110082779,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
62,NMF,108,0.01,0.0271056038974127,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
63,TFIDF-NMF,108,0.01,0.1009687161564294,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
64,NMF,325,0.03,0.0622761170201443,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
65,TFIDF-NMF,325,0.03,0.1943590216627759,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
66,NMF,542,0.05,0.0892183255381119,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
67,TFIDF-NMF,542,0.05,0.2502603040051247,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
68,NMF,1084,0.1,0.1457148463653255,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
69,TFIDF-NMF,1084,0.1,0.3265548207552918,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100
70,NMF,11,0.001,0.0081844177407317,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
71,TFIDF-NMF,11,0.001,0.0201591600909007,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
72,NMF,33,0.003,0.019451968257429,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
73,TFIDF-NMF,33,0.003,0.0460680972626365,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
74,NMF,54,0.005,0.0279904477856696,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
75,TFIDF-NMF,54,0.005,0.0655980212294205,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
76,NMF,108,0.01,0.0454789260250011,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
77,TFIDF-NMF,108,0.01,0.103782109754806,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
78,NMF,325,0.03,0.096332299745269,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
79,TFIDF-NMF,325,0.03,0.197082585341971,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
80,NMF,542,0.05,0.132472358761038,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
81,TFIDF-NMF,542,0.05,0.2509349330187334,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
82,NMF,1084,0.1,0.1976624717358694,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
83,TFIDF-NMF,1084,0.1,0.326679654353042,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100
84,NMF,11,0.001,0.0101215084150237,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
85,TFIDF-NMF,11,0.001,0.0192451216342001,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
86,NMF,33,0.003,0.0234631156132862,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
87,TFIDF-NMF,33,0.003,0.0425740664648514,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
88,NMF,54,0.005,0.0334447075061409,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
89,TFIDF-NMF,54,0.005,0.0602001318724868,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
90,NMF,108,0.01,0.0523228006163159,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
91,TFIDF-NMF,108,0.01,0.0947030648395836,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
92,NMF,325,0.03,0.1029604138136561,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
