,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette,cosine_ami,cosine_ari
0,NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100,0.0875812154469614,0.0180506402527208,0.098694842923167,0.0173635374708611,-0.2588563196333695,,
1,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_10_100,0.3381289952081197,0.1721224744601075,0.323439535429205,0.162583392948735,-0.0350330319387886,,
2,NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100,0.107510255310453,0.0207313061341701,0.0641753020766815,0.0041264289934452,-0.2727693652547653,,
3,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_10_100,0.2851265008225774,0.129827288097399,0.2636702529774959,0.1162023088263114,-0.0413890634232812,,
4,NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_cell_q_10_100,0.0457853094149424,0.0103433042071232,0.0413728305403911,0.0058108506233528,-0.372860562944823,,
5,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_cell_q_10_100,0.371972985986008,0.1835441632152223,0.3617631461835868,0.1686033316366433,-0.0291893049005187,,
6,NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100,0.0876453878406093,0.0255004537858202,0.117570237624969,0.0432069278860837,-0.2928970405816078,,
7,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_10_100,0.401371803650468,0.1986546091818625,0.4119992743148918,0.2227574702285119,-0.0130203561144537,,
8,NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100,0.0620526892158907,0.0144607629047436,0.0597006369091505,0.0170134298350325,-0.3463734664276262,,
9,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_10_100,0.4002611633404618,0.2119955171109502,0.3852955252968476,0.2189144499236333,-0.0195743862728418,,
10,NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100,0.1152148135416214,0.0275258020553381,0.0953516615504917,0.0235000749851927,-0.288121051274883,,
11,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_10_100,0.4095290142730589,0.2303442919187975,0.4045006389630919,0.2425375354677209,-0.0175649731756469,,
12,NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100,0.1440293492449203,0.0434060200222403,0.1312724818763034,0.0322228283007334,-0.2390013888818523,,
13,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100,0.3787868334994075,0.1921810490412236,0.3429182060297389,0.1587522257433435,-0.0248680832804658,,
14,NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100,0.1639324389154829,0.0647630758021969,0.1236105351029453,0.0372305532141669,-0.2505421888660466,,
15,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100,0.3882344197482644,0.2185669244040778,0.3771594590844161,0.2093068080955244,-0.0222815383700856,,
16,NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100,0.0762310378231229,0.0186993386636676,0.0621306583624277,0.0054558549103888,-0.3155573712758866,,
17,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100,0.3809102621523836,0.198067797576106,0.3581538512061459,0.1574790802117243,-0.0178573919426232,,
18,SCALE,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75,0.2109514307397191,0.0762214352555659,0.1926731168590126,0.0656338472441492,-0.1100219334924316,,
19,NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75,0.1255719589945772,0.0261635671585249,0.1044378867693246,0.0185277641922135,-0.2389371761811154,,
20,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_75,0.3118840118844477,0.1435259894598192,0.3001107944391582,0.1224673377650237,-0.0410412105360715,,
21,SCALE,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75,0.1717221640194984,0.0583738286268435,0.1568080319126721,0.0486707363390367,-0.1240181810864322,,
22,NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75,0.101708460187147,0.0273146116639367,0.0906293778046701,0.0207841061422021,-0.245394357489863,,
23,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_75,0.2678687889326452,0.1170968282906879,0.2524198664354874,0.1121360648196581,-0.0367576848860962,,
24,SCALE,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75,0.2059231213430776,0.0732089442625021,0.1869763778882048,0.0646988333329002,-0.0839017924947793,,
25,NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75,0.0594080629341834,0.0180091034881341,0.0567834893001725,0.0164929980337833,-0.3654219260001204,,
26,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_75,0.3726319445560855,0.1716414464307115,0.3686123018188159,0.1709439150758801,-0.0382641555714827,,
27,SCALE,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75,0.202469767469453,0.0706267754611883,0.1931487622619541,0.0596671850765394,-0.1073244183517566,,
28,NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75,0.1268702299051821,0.0311948446759862,0.1367310341828014,0.0479978233913263,-0.2616015293304255,,
29,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_75,0.3808135403972827,0.1791065225032007,0.3783779565072844,0.2092410274951611,-0.0276610327807752,,
30,SCALE,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75,0.1898715281936845,0.0677416480226333,0.1725877414958245,0.0611632822220022,-0.0847844311096742,,
31,NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75,0.0781682307768822,0.0236988208727792,0.0755623473768008,0.025370101268774,-0.3340250422257452,,
32,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_75,0.3781346902699043,0.1929781686024151,0.3752201137559171,0.1872660733757691,-0.0207176442787279,,
33,SCALE,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75,0.2527744790731536,0.1110591375622911,0.2348920577104601,0.0928972479391265,-0.078209298366218,,
34,NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75,0.1363753874305129,0.0357072011247956,0.1453842874183474,0.043895104117043,-0.2613873976478731,,
35,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_75,0.37529445493436,0.1825000994925541,0.3720364711238719,0.2018993906529609,-0.0294544915588985,,
36,SCALE,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75,0.2109974062482863,0.0714569080386239,0.195863210396366,0.0681108039477427,-0.0942014392951745,,
37,NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75,0.1465613845403186,0.0413882181641572,0.141830345352834,0.0519593558979618,-0.2566730927354271,,
38,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_75,0.3562885384613857,0.1751521849640079,0.3543451754777741,0.1826088664534409,-0.0363921886422182,,
39,SCALE,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_75,0.2048288669728288,0.0735791356895054,0.1896925194485499,0.0694750521752132,-0.098625104495673,,
40,NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_75,0.1183161618428707,0.0253071483847144,0.1343925789726691,0.0465832019428683,-0.2601722082921807,,
41,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_75,0.3504408714225956,0.1705114464674217,0.3385662676469368,0.1630048828625611,-0.029974620160156,,
42,SCALE,H3K9me3,PairedTag_Zhu_2021,30,filtered_q_75,0.190928548658858,0.0666813225554216,0.177284309856463,0.0621309824135983,-0.0960673838280305,,
43,NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_q_75,0.083113133045473,0.0244164454876897,0.069333503763396,0.0163818834342804,-0.3161555638568047,,
44,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_q_75,0.357466908086013,0.1813482754233276,0.3507278773981792,0.1702378226466849,-0.0367760613466684,,
45,NMF,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_p_80,0.1104184286552383,0.0297053445222202,0.1077793562488343,0.0356567510110604,-0.2771120340202669,,
46,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_p_80,0.3055254156925593,0.1379254514955693,0.2827147724602357,0.1307423588346342,-0.0420423770897292,,
47,NMF,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_p_80,0.1243703734036964,0.0293766118441762,0.122505608672368,0.0319502656445635,-0.2796185356312499,,
48,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_p_80,0.2686648468320947,0.1100641750593541,0.2443777690642063,0.0976028543165451,-0.0470080555210147,,
49,NMF,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_p_80,0.0615024204072312,0.0182614305893629,0.0648570922868225,0.0200500366775241,-0.3735681348637203,,
50,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_p_80,0.3378561730765255,0.1567126554521042,0.3306020812314281,0.1575025657553757,-0.0528677699810367,,
51,NMF,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_p_80,0.101673652002389,0.0303378387795794,0.0648090764704564,0.0074363425305143,-0.3015626465940628,,
52,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_p_80,0.3612178513659453,0.1685749320229136,0.3399940375814453,0.1481145468435898,-0.0300764742293944,,
53,NMF,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_p_80,0.0855193669754523,0.0255700015842998,0.0718224088663603,0.0173595367581878,-0.3459624959316172,,
54,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_p_80,0.3496176823700906,0.1555323817188021,0.3454540895345928,0.1594570452893237,-0.0423746366962471,,
55,NMF,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_p_80,0.1341627217502229,0.0357106073734488,0.116457040339855,0.0346035837669863,-0.2963714047109692,,
56,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_p_80,0.3422547946800631,0.1715408027093716,0.3223270100099687,0.164636156877265,-0.0345266391455948,,
57,NMF,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_p_80,0.1395316648326142,0.0358808209310458,0.1219145824944854,0.0288191610477081,-0.2483416809001425,,
58,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_p_80,0.3702139088429125,0.1788378471129232,0.3479002242012283,0.1588629871103243,-0.0381079182763909,,
59,NMF,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_p_80,0.1378055250837976,0.0269298374894237,0.1314785108943579,0.0410146890209195,-0.2746522138100161,,
60,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_p_80,0.3611122899940798,0.1750428538831514,0.3456923117773589,0.1748752918273517,-0.0278727653578173,,
61,NMF,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_p_80,0.0857657429704768,0.0238095878350762,0.0773131981448189,0.0240183184433249,-0.3281103754312514,,
62,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_p_80,0.3913261095412907,0.1976693614768007,0.3889073607000337,0.2148595230040847,-0.0354954685361633,,
63,NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_40_100,0.1389206498732434,0.0545742069736721,0.1335284484330709,0.0451908358119453,-0.2255415150408228,,
64,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_cell_q_40_100,0.3545387862137521,0.1985304566532094,0.3387945175549438,0.2083584901191401,-0.0263990563502834,,
65,NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_40_100,0.1299348146201695,0.0440915800576537,0.1125475170159458,0.0434863733844428,-0.2548646765924385,,
66,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_cell_q_40_100,0.2648848569367666,0.1245076343071934,0.2452424576843488,0.1106873825493686,-0.0332685132281239,,
67,NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_cell_q_40_100,0.0190833214520037,0.0002162459478447,0.0190708405310909,0.0026791089061483,-0.3769550091938474,,
68,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_cell_q_40_100,0.3534324275940416,0.1849315647287109,0.3493114196930711,0.196147759183759,-0.0070671265003879,,
69,NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_40_100,0.1039024495137694,0.034699197057566,0.0565517499414228,0.011126443988407,-0.2882186159650213,,
70,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_cell_q_40_100,0.4093927184706288,0.2339912306782767,0.3899525709117153,0.2185230585981434,0.0016148527571909,,
71,NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_40_100,0.0547498222018307,0.0175822366564272,0.0381448265331844,0.0012980265100632,-0.3355485208662492,,
72,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_cell_q_40_100,0.3691625589024975,0.1946066374937044,0.3642555509198652,0.1946877582526603,-0.0004205737591408,,
73,NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_40_100,0.1416998711596446,0.0467429005475601,0.1341709486708276,0.0430603407662453,-0.270968735781799,,
74,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_cell_q_40_100,0.3921738517726575,0.214081914481922,0.381233476573811,0.1789275259873857,-0.0004478976944751,,
75,NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_40_100,0.1414261179343332,0.0567743022390206,0.1450923038813433,0.0532450991100616,-0.2301899870385682,,
76,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_40_100,0.3892213938800634,0.2081094872504886,0.3607513509627307,0.1967217881002618,-0.0102760450631334,,
77,NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_40_100,0.145225893311038,0.0513003200666258,0.142458616027914,0.0423443188240034,-0.2579280747536938,,
78,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_40_100,0.398842721480413,0.2107467213576188,0.3666130870474273,0.1799453664439804,-0.0049032377463255,,
79,NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_40_100,0.0564097118107625,0.0169801216592702,0.0537178535115178,0.0112027346035786,-0.3180944256243062,,
80,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_40_100,0.3978517658997602,0.215955552975615,0.3864763240927832,0.1999462268451931,0.0048501170821018,,
81,NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_1,0.1255719589945772,0.0261635671585249,0.1044378867693246,0.0185277641922135,-0.2389371761811154,,
82,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_1,0.3118840118844477,0.1435259894598192,0.3001107944391582,0.1224673377650237,-0.0410412105360715,,
83,NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_1,0.101708460187147,0.0273146116639367,0.0906293778046701,0.0207841061422021,-0.245394357489863,,
84,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_1,0.2678687889326452,0.1170968282906879,0.2524198664354874,0.1121360648196581,-0.0367576848860962,,
85,NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_1,0.0594080629341834,0.0180091034881341,0.0567834893001725,0.0164929980337833,-0.3654219260001204,,
86,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_1,0.3726319445560855,0.1716414464307115,0.3686123018188159,0.1709439150758801,-0.0382641555714827,,
87,NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_1,0.1268702299051821,0.0311948446759862,0.1367310341828014,0.0479978233913263,-0.2616015293304255,,
88,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_1,0.3808135403972827,0.1791065225032007,0.3783779565072844,0.2092410274951611,-0.0276610327807752,,
89,NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_1,0.0781682307768822,0.0236988208727792,0.0755623473768008,0.025370101268774,-0.3340250422257452,,
90,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_1,0.3781346902699043,0.1929781686024151,0.3752201137559171,0.1872660733757691,-0.0207176442787279,,
91,NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_1,0.1363753874305129,0.0357072011247956,0.1453842874183474,0.043895104117043,-0.2613873976478731,,
92,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_1,0.37529445493436,0.1825000994925541,0.3720364711238719,0.2018993906529609,-0.0294544915588985,,
93,NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_1,0.1465613845403186,0.0413882181641572,0.141830345352834,0.0519593558979618,-0.2566730927354271,,
94,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_1,0.3562885384613857,0.1751521849640079,0.3543451754777741,0.1826088664534409,-0.0363921886422182,,
95,NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_1,0.1183161618428707,0.0253071483847144,0.1343925789726691,0.0465832019428683,-0.2601722082921807,,
96,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_1,0.3504408714225956,0.1705114464674217,0.3385662676469368,0.1630048828625611,-0.029974620160156,,
97,NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_q_1,0.083113133045473,0.0244164454876897,0.069333503763396,0.0163818834342804,-0.3161555638568047,,
98,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_q_1,0.357466908086013,0.1813482754233276,0.3507278773981792,0.1702378226466849,-0.0367760613466684,,
99,NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_50,0.1255719589945772,0.0261635671585249,0.1044378867693246,0.0185277641922135,-0.2389371761811154,,
100,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_q_50,0.3118840118844477,0.1435259894598192,0.3001107944391582,0.1224673377650237,-0.0410412105360715,,
101,NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_50,0.101708460187147,0.0273146116639367,0.0906293778046701,0.0207841061422021,-0.245394357489863,,
102,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_q_50,0.2678687889326452,0.1170968282906879,0.2524198664354874,0.1121360648196581,-0.0367576848860962,,
103,NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_50,0.0594080629341834,0.0180091034881341,0.0567834893001725,0.0164929980337833,-0.3654219260001204,,
104,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_q_50,0.3726319445560855,0.1716414464307115,0.3686123018188159,0.1709439150758801,-0.0382641555714827,,
105,NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_50,0.1268702299051821,0.0311948446759862,0.1367310341828014,0.0479978233913263,-0.2616015293304255,,
106,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_q_50,0.3808135403972827,0.1791065225032007,0.3783779565072844,0.2092410274951611,-0.0276610327807752,,
107,NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_50,0.0781682307768822,0.0236988208727792,0.0755623473768008,0.025370101268774,-0.3340250422257452,,
108,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_q_50,0.3781346902699043,0.1929781686024151,0.3752201137559171,0.1872660733757691,-0.0207176442787279,,
109,NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_50,0.1363753874305129,0.0357072011247956,0.1453842874183474,0.043895104117043,-0.2613873976478731,,
110,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_q_50,0.37529445493436,0.1825000994925541,0.3720364711238719,0.2018993906529609,-0.0294544915588985,,
111,NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_50,0.1465613845403186,0.0413882181641572,0.141830345352834,0.0519593558979618,-0.2566730927354271,,
112,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_q_50,0.3562885384613857,0.1751521849640079,0.3543451754777741,0.1826088664534409,-0.0363921886422182,,
113,NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_50,0.1183161618428707,0.0253071483847144,0.1343925789726691,0.0465832019428683,-0.2601722082921807,,
114,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_q_50,0.3504408714225956,0.1705114464674217,0.3385662676469368,0.1630048828625611,-0.029974620160156,,
115,NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_q_50,0.083113133045473,0.0244164454876897,0.069333503763396,0.0163818834342804,-0.3161555638568047,,
116,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_q_50,0.357466908086013,0.1813482754233276,0.3507278773981792,0.1702378226466849,-0.0367760613466684,,
117,NMF,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_p_60,0.1195447978523313,0.0278061415415921,0.1175634098513143,0.0391705200348764,-0.251482104425233,,
118,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_p_60,0.3121050907771104,0.1541905828381,0.2954349474372171,0.1576479629738204,-0.0324829417416996,,
119,NMF,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_p_60,0.1039365816976336,0.0178042804592286,0.0975177372865476,0.0212253943140732,-0.2559892639725467,,
120,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_p_60,0.2605046605530773,0.1180519637062467,0.2497401549373644,0.109485695103699,-0.0384227629265111,,
121,NMF,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_p_60,0.0582745409307809,0.0179254282973409,0.0597145270202761,0.0199719153323958,-0.3684993693591011,,
122,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_p_60,0.2690396247335843,0.1168570497909475,0.267535909660582,0.1122198406489782,-0.0562648603186114,,
123,NMF,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_p_60,0.1055125356772692,0.0297660484153205,0.1223441347093668,0.040517185621459,-0.29212420490476,,
124,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_p_60,0.3803889140810875,0.1930204345783482,0.3706830431502936,0.1781918469936925,-0.0313771512724764,,
125,NMF,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_p_60,0.0740993159122769,0.0223974530921262,0.0618598557814982,0.0156635962907819,-0.3279254272047138,,
126,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_p_60,0.3883928793694725,0.1911639444098286,0.3682921770858468,0.1637746395074641,-0.0212439976207604,,
127,NMF,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_p_60,0.1299671484562442,0.0306750752228653,0.1525230298926264,0.0520848315553639,-0.2711461839573637,,
128,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_p_60,0.3460117940332383,0.1644958670905247,0.3439920932716543,0.1549920998995841,-0.0312223181056242,,
129,NMF,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_p_60,0.1327287516762001,0.0301442618199222,0.1566649187754486,0.0442803383714807,-0.2429070179118131,,
130,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_p_60,0.3607280657149885,0.1771369800728185,0.3517416423553118,0.1645931066845711,-0.0289455366989457,,
131,NMF,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_p_60,0.1373732277717283,0.0381336539388911,0.1068303245217051,0.0168144078374482,-0.2733089960990414,,
132,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_p_60,0.3623337349096885,0.1715426131012368,0.3512118827909437,0.1735137529081296,-0.0286965215735077,,
133,NMF,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_p_60,0.0774364799016074,0.0239266663398691,0.070056722306378,0.0202153275740381,-0.3258317543613876,,
134,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_p_60,0.3862120758111142,0.1886808362297841,0.3892414502683426,0.2166075883655664,-0.0212235750873127,,
135,NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_hvg_50,0.1396812628694403,0.0350948368964716,0.1161886380825243,0.0281970713385862,-0.2394755019360011,,
136,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,filtered_hvg_50,0.3145241350977154,0.1370581949005359,0.298008460403001,0.1336745691966258,-0.0353950448686912,,
137,NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_hvg_50,0.1056582923377114,0.0236542504412207,0.1222643183426572,0.0298977917325901,-0.2675820781234446,,
138,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,1000,filtered_hvg_50,0.2916648020011042,0.1264117403159132,0.2640228692461711,0.1135768495557723,-0.0408136149922407,,
139,NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_hvg_50,0.0597389478646771,0.0175406882862028,0.0538603844256891,0.0136261417215457,-0.3582852619449068,,
140,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,10,filtered_hvg_50,0.3693102091856099,0.1592026269849893,0.368529509423826,0.1660498089474072,-0.0326622070256486,,
141,NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_hvg_50,0.10189841819048,0.0320295730232058,0.0982827767945283,0.0223013854552291,-0.2876625646313407,,
142,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,50,filtered_hvg_50,0.3939028237518258,0.2025147999239666,0.3831287762958841,0.2060878949875594,-0.0281769372949413,,
143,NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_hvg_50,0.067966235439078,0.0188452944827917,0.071270747990567,0.0187929026416092,-0.3366713978377905,,
144,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,20,filtered_hvg_50,0.3942521050611902,0.1986197122763937,0.3870730339130709,0.1983006597776422,-0.0163285755686753,,
145,NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_hvg_50,0.1405320281912004,0.0390219539951285,0.1212115419668157,0.0261595017748075,-0.2509499213107784,,
146,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,100,filtered_hvg_50,0.3374591404792531,0.1619743236079121,0.3353876159611119,0.1784452602755332,-0.0367991368409975,,
147,NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_hvg_50,0.1118894192029332,0.0284738477533852,0.1197407834913564,0.0388973834226023,-0.2855857508105324,,
148,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,300,filtered_hvg_50,0.3089184995530886,0.149276552170727,0.2917248846492047,0.1226337763548634,-0.0434673493617259,,
149,NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_hvg_50,0.1629862561204366,0.0392167934773962,0.1575830127629584,0.0455700065571081,-0.2485165219103542,,
150,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,200,filtered_hvg_50,0.3765696096728403,0.1836858207603499,0.3350602603081309,0.1372860662972506,-0.028017038182267,,
151,NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_hvg_50,0.0808193707310445,0.0228991480168309,0.0913054089100799,0.0278543860144341,-0.3127383166353869,,
152,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,30,filtered_hvg_50,0.3556621076796605,0.1746864018170444,0.3556000473471996,0.1623812176985709,-0.0259761275574267,,
153,NMF,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_p_20,0.0842571408437827,0.0226957867532725,0.1096251203332457,0.0284836168716099,-0.2886479415719468,,
154,TFIDF-NMF,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_p_20,0.3113367956851389,0.1483178238582373,0.2934053237767645,0.1351714560016833,-0.0454699323150605,,
