,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
52,SnapATAC,8,0.001,0.0028299614643545,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
53,cisTopic,8,0.001,0.0038084055876685,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
54,NMF,8,0.001,0.0025138487475915,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
55,TFIDF-NMF,8,0.001,0.0035826107899807,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
56,Chromscape_LSI,25,0.003,0.0064836223506743,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
57,Chromscape_PCA,25,0.003,0.0059922928709055,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
58,Signac,25,0.003,0.0071339113680154,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
59,SnapATAC,25,0.003,0.0078564547206165,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
60,cisTopic,25,0.003,0.0101926782273603,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
61,NMF,25,0.003,0.006936416184971,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
62,TFIDF-NMF,25,0.003,0.0092389210019267,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
63,Chromscape_LSI,42,0.005,0.0099865813377374,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
64,Chromscape_PCA,42,0.005,0.0096826543719607,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
65,Signac,42,0.005,0.0113169786218919,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
66,SnapATAC,42,0.005,0.0128824892191944,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
67,cisTopic,42,0.005,0.0158930865216992,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
68,NMF,42,0.005,0.0112223598495274,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
